TeamID,Team,HomeGround,WinningPercentage
1,Chennai Super Kings,Chennai,58.96
2,Delhi Capitals,Delhi,45.33
3,Gujarat Titans,Ahmedabad,57.14
4,Kolkata Knight Riders,Kolkata,51.05
5,Lucknow Super Giants,Lucknow,58.62
6,Mumbai Indians,Mumbai,56.68
7,Punjab Kings,Punjab,45.68
8,Rajasthan Royals,Jaipur,50.24
9,Royal Challengers Bangalore,Bangalore,49.79
10,Sunrisers Hyderabad,Hyderabad,44.39
11,Kochi Tuskers Kerala,Indore,51.12
12,Pune Warriors,Pune,26.66
13,Rising Pune Supergiants,Pune,50.0
